runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,Continuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,9076,18,56286,15519,80987,1578631168,1156687176,421943992,75408133321,68918402010,6489731311,6487818704,0,6911675303,402,6189,6187,0,6591
2,city-num-interaction,Continuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,5028,7,67519,16912,89572,1575485440,1115753920,459731520,57837355005,51415321278,6422033727,6420285848,0,6881765247,438,6124,6122,0,6562
3,city-num-interaction,Continuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,5134,6,63781,14409,83968,1589116928,1191399208,397717720,57837355005,51432002887,6405352118,6403524824,0,6803069838,379,6108,6106,0,6487
4,city-num-interaction,Continuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,4919,5,49509,16498,70955,1612185600,1229489800,382695800,71015438742,64610255156,6405183586,6403441160,0,6787879386,364,6108,6106,0,6473
5,city-num-interaction,Continuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,5649,6,62826,14605,83231,1616904192,1257629376,359274816,66622744163,60200881593,6421862570,6420409616,0,6781177634,342,6124,6122,0,6467
6,city-num-interaction,Continuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,4360,5,57712,14627,77052,1628438528,1288285072,340153456,71015438742,64593315560,6422123182,6420324320,0,6762287414,324,6124,6122,0,6449
7,city-num-interaction,Continuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,4788,5,48144,14528,67598,1631584256,1097840264,533743992,71015438742,64559121083,6456317659,6454380144,0,6990077619,509,6157,6155,0,6666
8,city-num-interaction,Continuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,4899,6,48315,14539,67840,1633681408,989732992,643948416,71015438742,64559165643,6456273099,6454287840,0,7100221515,614,6157,6155,0,6771
9,city-num-interaction,Continuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,4964,5,56060,15337,76426,1633157120,1058036144,575120976,71015438742,64593078829,6422359913,6420486992,0,6997494345,548,6124,6123,0,6673
10,city-num-interaction,Continuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,6321,4,62020,14836,83199,1642070016,972247200,669822816,62230049584,55825097126,6404952458,6403676960,0,7074786706,638,6108,6107,0,6747
