runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,Continuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,4837,19,94155,16888,116064,1590165504,1208236080,381929424,53511349860,47106889621,6404460239,6403734752,0,6786389663,364,6107,6107,0,6472
2,city-num-interaction,Continuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,2238,10,55082,16382,73909,1589116928,1178553912,410563016,53511349860,47021579671,6489770189,6488046456,0,6900392989,391,6189,6187,0,6580
3,city-num-interaction,Continuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,1605,11,55603,17383,74708,1611661312,1214716912,396944400,53511349860,47038254231,6473095629,6471143544,0,6870040029,378,6173,6171,0,6551
4,city-num-interaction,Continuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,1385,6,54435,16969,72822,1618477056,1244308344,374168712,71082128176,64592391088,6489737088,6487826064,0,6863905800,356,6189,6187,0,6545
5,city-num-interaction,Continuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,1556,7,52642,16412,70632,1574436864,1232562520,341874344,62296739018,55823941827,6472797191,6471132336,0,6814671535,326,6172,6171,0,6498
6,city-num-interaction,Continuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,1341,5,53279,15447,70084,1637351424,1298047528,339303896,71082128176,64592201977,6489926199,6487953024,0,6829242799,323,6189,6187,0,6512
7,city-num-interaction,Continuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,1624,6,50928,15286,67855,1641545728,1117739296,523806432,71082128176,64608707546,6473420630,6471223104,0,6997263518,499,6173,6171,0,6673
8,city-num-interaction,Continuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,1659,9,52104,16395,70262,1647312896,1012884112,634428784,71082128176,64592131014,6489997162,6487917296,0,7124425946,605,6189,6187,0,6794
9,city-num-interaction,Continuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,1121,14,53498,15613,70263,1669332992,1132347104,536985888,62296739018,55789886480,6506852538,6504915856,0,7043838426,512,6205,6203,0,6717
10,city-num-interaction,Continuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,1354,13,50940,15571,67915,1678245888,1044279680,633966208,71082128176,64609505119,6472623057,6471135408,0,7106589265,604,6172,6171,0,6777
