runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,9309,19,66002,15183,90800,1575485440,1122832136,452653304,71082128176,64660396107,6421732069,6420513704,0,6874385373,431,6124,6123,0,6555
2,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4822,9,63731,18689,87304,1586495488,1112103008,474392480,62296739018,55891403253,6405335765,6403545176,0,6879728245,452,6108,6106,0,6561
3,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5322,9,58338,15100,78817,1595932672,1151199768,444732904,62296739018,55891269841,6405469177,6403502144,0,6850202081,424,6108,6106,0,6532
4,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4468,8,48938,14081,67531,1600651264,1180811128,419840136,71082128176,64676653898,6405474278,6403548872,0,6825314414,400,6108,6106,0,6509
5,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4443,10,49358,13698,67523,1596456960,1197115424,399341536,71082128176,64676680646,6405447530,6403521800,0,6804807402,380,6108,6106,0,6489
6,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4926,8,65252,14818,85095,1601699840,1200226768,401473072,66689433597,60284070289,6405363308,6403638584,0,6806836380,382,6108,6106,0,6491
7,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4436,7,63381,15221,83058,1599602688,1012475032,587127656,71082128176,64676571427,6405556749,6403567592,0,6992684405,559,6108,6106,0,6668
8,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4771,8,58767,15910,79670,1607467008,1009727848,597739160,79867517334,73462167918,6405349416,6403534184,0,7003095040,570,6108,6106,0,6678
9,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5103,7,56290,14465,76028,1606942720,977714920,629227800,71082128176,64676835561,6405292615,6403591136,0,7034520415,600,6108,6106,0,6708
10,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4695,7,57342,12787,74875,1609564160,1329038824,280525336,71082128176,64676802725,6405325451,6403622888,0,6685850787,267,6108,6106,0,6376
