runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,Continuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,7611,14,68109,16761,92706,1582825472,1161071688,421753784,49107645233,42668971269,6438673964,6437368040,0,6860427748,402,6140,6139,0,6542
2,city-num-interaction,Continuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,3188,6,82847,14599,100751,1588068352,1160133696,427934656,49107645233,42702864881,6404780352,6403656440,0,6832715008,408,6108,6107,0,6516
3,city-num-interaction,Continuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,2089,5,86049,15669,103878,1599602688,1199641920,399960768,57893034391,51488371159,6404663232,6403561400,0,6804624000,381,6107,6106,0,6489
4,city-num-interaction,Continuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,2297,5,75560,14311,92188,1606418432,1226186856,380231576,49107645233,42702966321,6404678912,6403530368,0,6784910488,362,6107,6106,0,6470
5,city-num-interaction,Continuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,2033,5,84968,16158,103201,1620574208,1258012024,362562184,62285728970,55881161512,6404567458,6403539080,0,6767129642,345,6107,6106,0,6453
6,city-num-interaction,Continuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,1962,5,74239,13984,90285,1616904192,1272111728,344792464,53500339812,47095452824,6404886988,6403639592,0,6749679452,328,6108,6106,0,6436
7,city-num-interaction,Continuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,1935,4,74415,14343,90729,1621098496,1159046616,462051880,71071118128,64665950651,6405167477,6403650584,0,6867219357,440,6108,6106,0,6549
8,city-num-interaction,Continuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,1988,4,70900,13688,86681,1623719936,1081736864,541983072,44714950654,38309970347,6404980307,6403573616,0,6946963379,516,6108,6106,0,6625
9,city-num-interaction,Continuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,1964,5,72184,13143,87380,1628438528,1250723400,377715128,44714950654,38310039389,6404911265,6403564496,0,6782626393,360,6108,6106,0,6469
10,city-num-interaction,Continuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,1915,5,74335,13337,89690,1630535680,1124535536,506000144,44714950654,38310042646,6404908008,6403584056,0,6910908152,482,6108,6106,0,6590
