runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,Continuous,4,5,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2880,7,346000,153977,503473,1578106880,1076508600,501598280,108458724552,75305019409,33153705143,33152563360,0,33655303423,478,31617,31616,0,32096
1,city-num-interaction,Continuous,3,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1201,5,60166,17000,78393,1561853952,1001437536,560416416,135381123066,128975835491,6405287575,6403538792,0,6965710735,534,6108,6106,0,6643
1,city-num-interaction,Continuous,2,3,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1292,5,16650,3775,21873,1551892480,1097680984,454211496,108458724552,106904779580,1553944972,1552529912,0,2008156468,433,1481,1480,0,1915
1,city-num-interaction,Continuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,9994,16,5486,1116,16711,1578106880,1143423184,434683696,117432857390,116554707570,878149820,876891440,0,1312833516,414,837,836,0,1252
1,city-num-interaction,Continuous,0,1,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1335,7,1621,672,3655,1567096832,1017761216,549335616,108458724552,107646472763,812251789,810725136,0,1361604813,523,774,773,0,1298
2,city-num-interaction,Continuous,4,5,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1240,6,313974,167087,482785,1514668032,1052054344,462613688,108458724552,75271383222,33187341330,33186273408,0,33649955018,441,31649,31648,0,32091
2,city-num-interaction,Continuous,3,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1469,5,65713,15598,82795,1546649600,1100850520,445799080,126406990228,119968446528,6438543700,6437237272,0,6884342780,425,6140,6139,0,6565
2,city-num-interaction,Continuous,2,3,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1412,6,11665,2922,16014,1558708224,1135426912,423281312,135381123066,133827214277,1553908789,1552527752,0,1977192197,403,1481,1480,0,1885
2,city-num-interaction,Continuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1245,6,2403,842,4504,1545601024,937039304,608561720,126406990228,125511992694,894997534,893589232,0,1503564566,580,853,852,0,1433
2,city-num-interaction,Continuous,0,1,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1442,5,1490,655,3600,1547173888,894139864,653034024,108458724552,107646354298,812370254,810725136,0,1465411094,622,774,773,0,1397
3,city-num-interaction,Continuous,4,5,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1216,5,313388,159922,474803,1611661312,1087366544,524294768,117432857390,84278781529,33154075861,33152794600,0,33678404805,500,31618,31616,0,32118
3,city-num-interaction,Continuous,3,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1685,4,66455,16174,84376,1677721600,1197658352,480063248,108458724552,102053960923,6404763629,6403657376,0,6884832869,457,6108,6107,0,6565
3,city-num-interaction,Continuous,2,3,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1401,5,12367,2851,16675,1591214080,1171869504,419344576,108458724552,106888243220,1570481332,1569244768,0,1989830660,399,1497,1496,0,1897
3,city-num-interaction,Continuous,0,1,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1914,5,1882,564,4372,1548222464,884237128,663985336,108458724552,107629948561,828775991,827558568,0,1492768303,633,790,789,0,1423
3,city-num-interaction,Continuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1178,5,4460,732,6381,1551368192,900037432,651330760,108458724552,107563478836,895245716,893589232,0,1546582428,621,853,852,0,1474
4,city-num-interaction,Continuous,4,5,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1202,5,314091,167136,482887,1657798656,868394664,789403992,117432857390,84339052996,33093804394,33092603896,0,33883222626,752,31560,31559,0,32313
4,city-num-interaction,Continuous,3,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1249,5,69616,17300,88210,1670381568,1062321072,608060496,117432857390,111027887508,6404969882,6403695224,0,7013034322,579,6108,6107,0,6688
4,city-num-interaction,Continuous,2,3,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1220,4,11486,3023,15742,1698168832,987495568,710673264,117432857390,115878447740,1554409650,1552518968,0,2265090034,677,1482,1480,0,2160
4,city-num-interaction,Continuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1223,5,2589,939,4918,1665138688,979977104,685161584,108458724552,107580907454,877817098,876755800,0,1562978682,653,837,836,0,1490
4,city-num-interaction,Continuous,0,1,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1180,5,1358,551,3103,1675100160,890801208,784298952,117432857390,116587323922,845533468,844256360,0,1629832420,747,806,805,0,1554
5,city-num-interaction,Continuous,4,5,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1214,4,324685,174227,500435,1685061632,1195692304,489369328,117432857390,84322536685,33110320705,33109082680,0,33599690033,466,31576,31575,0,32043
5,city-num-interaction,Continuous,3,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1341,6,66804,15713,83957,1703936000,1044908672,659027328,126406990228,119968694700,6438295528,6437126872,0,7097322856,628,6140,6138,0,6768
5,city-num-interaction,Continuous,2,3,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1231,4,13435,3005,17787,1689255936,1113893104,575362832,117432857390,115861963595,1570893795,1569348720,0,2146262307,548,1498,1496,0,2046
5,city-num-interaction,Continuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1323,4,2461,1041,4839,1705508864,1034614296,670894568,126406990228,125528286194,878704034,876891440,0,1549604154,639,837,836,0,1477
5,city-num-interaction,Continuous,0,1,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1259,4,1345,530,3147,1706033152,1049565840,656467312,126406990228,125594560571,812429657,810725136,0,1468904201,626,774,773,0,1400
6,city-num-interaction,Continuous,4,5,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1206,5,295687,151377,448524,1703411712,1143622552,559789160,117432857390,84358908111,33073949279,33072711416,0,33633738439,533,31541,31540,0,32075
6,city-num-interaction,Continuous,3,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1928,5,67034,17288,86261,1703936000,1126830416,577105584,108458724552,102053497795,6405226757,6403702304,0,6982336461,550,6108,6107,0,6658
6,city-num-interaction,Continuous,2,3,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1160,5,9596,2247,13015,1705508864,1171638080,533870784,108458724552,106887435606,1571288946,1569470736,0,2105164498,509,1498,1496,0,2007
6,city-num-interaction,Continuous,0,1,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1232,4,1537,525,3306,1703936000,1036920800,667015200,108458724552,107629475398,829249154,827422928,0,1496269778,636,790,789,0,1426
6,city-num-interaction,Continuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1210,5,2288,964,4474,1704460288,1151199000,553261288,108458724552,107596927956,861796596,860058008,0,1415066852,527,821,820,0,1349
7,city-num-interaction,Continuous,4,5,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1178,5,296285,178204,475984,1706557440,942573776,763983664,126406990228,93296054550,33110935678,33109734856,0,33874919342,728,31577,31575,0,32305
7,city-num-interaction,Continuous,3,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1168,5,58589,15796,75567,1703936000,1002051816,701884184,126406990228,120001676120,6405314108,6403591424,0,7107205428,669,6108,6106,0,6777
7,city-num-interaction,Continuous,2,3,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1301,5,12072,2709,16095,1700790272,1163082616,537707656,126406990228,124835873538,1571116690,1569388760,0,2108830178,512,1498,1496,0,2011
7,city-num-interaction,Continuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1164,5,2842,841,4858,1705508864,1155225016,550283848,126406990228,125545436874,861553354,860058008,0,1411841786,524,821,820,0,1346
7,city-num-interaction,Continuous,0,1,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1444,4,1785,521,3761,1704984576,1242058328,462926248,126406990228,125594638936,812351292,810725136,0,1275277540,441,774,773,0,1216
8,city-num-interaction,Continuous,4,5,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1377,5,291626,154048,447380,1707081728,880369936,826711792,108458724552,75378968116,33079756436,33078346952,0,33906474028,788,31547,31545,0,32335
8,city-num-interaction,Continuous,3,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1214,5,55791,17768,74928,1706033152,1104182256,601850896,144355255904,137950033466,6405222438,6403483760,0,7007081030,573,6108,6106,0,6682
