runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,CanonicalRandomVertexCut$,5462,12,53004,15934,74622,1584922624,1116323232,468599392,40333266123,33927752928,6405513195,6403602368,0,6874112587,446,6108,6106,0,6555
1,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5328,21,79769,16707,101990,1573388288,1104156136,469232152,40333266123,33928520848,6404745275,6403624472,0,6873977427,447,6108,6106,0,6555
1,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition1D$,4629,12,61750,14014,80446,1593311232,1158244848,435066384,44725960702,38212247298,6513713404,6511949208,0,6948803636,414,6211,6210,0,6626
1,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition2D$,4754,17,67147,12337,84406,1596456960,1179665648,416791312,66689433597,62874000152,3815433445,3814047736,0,4232224757,397,3638,3637,0,4036
2,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,CanonicalRandomVertexCut$,2272,8,79614,13772,95817,1612709888,996661304,616048584,53511349860,47106661016,6404688844,6403548992,0,7020748460,587,6107,6106,0,6695
2,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition1D$,3132,15,72997,16717,92879,1607991296,1209912872,398078424,62296739018,55783741291,6512997727,6511810248,0,6911097807,379,6211,6210,0,6590
2,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition2D$,2117,7,65944,13242,81389,1605369856,1222335712,383034144,57904044439,54088896758,3815147681,3814043704,0,4198181825,365,3638,3637,0,4003
2,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2028,9,76234,15040,93330,1610088448,1083913688,526174760,71082128176,64677201537,6404926639,6403643696,0,6931101399,501,6108,6106,0,6612
3,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,CanonicalRandomVertexCut$,2150,9,74639,13471,90893,1612185600,1157584640,454600960,44725960702,38321220260,6404740442,6403595168,0,6859341402,433,6108,6106,0,6541
3,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition1D$,1983,14,73747,15392,91268,1620049920,1050282688,569767232,71082128176,64568840659,6513287517,6511946904,0,7083054749,543,6211,6210,0,6754
3,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2116,14,76488,14838,93476,1624244224,1031872296,592371928,71082128176,64677335497,6404792679,6403676096,0,6997164607,564,6108,6107,0,6673
3,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition2D$,1930,8,63443,11680,77075,1627914240,1029420176,598494064,57904044439,54088875598,3815168841,3814104832,0,4413662905,570,3638,3637,0,4209
4,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,CanonicalRandomVertexCut$,2605,7,65761,13983,82436,1652031488,1003261648,648769840,44725960702,38320974565,6404986137,6403589192,0,7053755977,618,6108,6106,0,6727
4,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition2D$,1944,8,61341,13686,76992,1645740032,1007809968,637930064,44725960702,40910958446,3815002256,3814048960,0,4452932320,608,3638,3637,0,4246
4,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1955,14,73341,13978,89301,1634205696,981757392,652448304,53511349860,47106838541,6404511319,6403573928,0,7056969095,622,6107,6106,0,6730
4,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition1D$,1528,7,67798,13353,82764,1656225792,983966904,672258888,44725960702,38212772044,6513188658,6512010768,0,7185454778,641,6211,6210,0,6852
