_1,_2
CanonicalRandomVertexCut$,74622
CanonicalRandomVertexCut$,95817
CanonicalRandomVertexCut$,90893
CanonicalRandomVertexCut$,82436
CanonicalRandomVertexCut$,84546
CanonicalRandomVertexCut$,88251
CanonicalRandomVertexCut$,88862
CanonicalRandomVertexCut$,89538
CanonicalRandomVertexCut$,89492
CanonicalRandomVertexCut$,89129
EdgePartition1D$,80446
EdgePartition1D$,92879
EdgePartition1D$,91268
EdgePartition1D$,82764
EdgePartition1D$,84467
EdgePartition1D$,84429
EdgePartition1D$,85429
EdgePartition1D$,87502
EdgePartition1D$,80728
EdgePartition1D$,85491
EdgePartition2D$,84406
EdgePartition2D$,81389
EdgePartition2D$,77075
EdgePartition2D$,76992
EdgePartition2D$,75333
EdgePartition2D$,77251
EdgePartition2D$,69237
EdgePartition2D$,74966
EdgePartition2D$,79308
EdgePartition2D$,72785
RandomVertexCut$,101990
RandomVertexCut$,93330
RandomVertexCut$,93476
RandomVertexCut$,89301
RandomVertexCut$,87402
RandomVertexCut$,89838
RandomVertexCut$,91748
RandomVertexCut$,94596
RandomVertexCut$,92618
RandomVertexCut$,92013
