runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,Continuous,2,4,10,interaction,sf3,4,SparkQueryExecutor,RandomVertexCut$,4102,9,1209262,32887,1246464,1547698176,1303685528,244012648,141335986169,128297213890,13038772279,13037831024,0,13282784927,232,12434,12433,0,12667
1,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1856,8,75115,15376,92433,1518862336,1059591600,459270736,53482094589,47077263272,6404831317,6403592864,0,6864102053,437,6108,6106,0,6546
1,city-num-interaction,Continuous,2,4,10,interaction,sf0_3,4,SparkQueryExecutor,RandomVertexCut$,1458,15,6377,1482,9351,1589116928,1183860264,405256664,31518621694,30992853207,525768487,524514752,0,931025151,386,501,500,0,887
1,city-num-interaction,Continuous,2,4,10,interaction,sf0_1,4,SparkQueryExecutor,RandomVertexCut$,4691,25,3809,805,9391,1579679744,1079721560,499958184,31518621694,31441228556,77393138,76270112,0,577351322,476,73,72,0,550
1,city-num-interaction,Continuous,2,4,10,interaction,sf0_003,4,SparkQueryExecutor,RandomVertexCut$,4521,16,1431,388,6390,1579155456,1211949328,367206128,141335986169,141334241160,1745009,797480,0,368982073,350,1,0,0,351
2,city-num-interaction,Continuous,2,4,10,interaction,sf3,4,SparkQueryExecutor,RandomVertexCut$,7973,11,652743,28156,689113,1655177216,1192025208,463152008,141335986169,127572508594,13763477575,13761113376,0,14226629583,441,13125,13123,0,13567
2,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6541,11,51439,13480,71564,1607991296,1031874256,576117040,141335986169,134879625569,6456360600,6454213952,0,7032526760,549,6157,6155,0,6706
2,city-num-interaction,Continuous,2,4,10,interaction,sf0_3,4,SparkQueryExecutor,RandomVertexCut$,4420,15,6906,1758,13114,1617428480,1114531752,502896728,110587124116,110033257158,553866958,552445160,0,1056763686,479,528,526,0,1009
2,city-num-interaction,Continuous,2,4,10,interaction,sf0_1,4,SparkQueryExecutor,RandomVertexCut$,3584,13,1576,466,5651,1624768512,986641304,638127208,110587124116,110509879629,77244487,76270040,0,715385703,608,73,72,0,682
2,city-num-interaction,Continuous,2,4,10,interaction,sf0_003,4,SparkQueryExecutor,RandomVertexCut$,3931,11,893,289,5145,1588592640,1122088944,466503696,141335986169,141334261016,1725153,797480,0,468252745,444,1,0,0,446
3,city-num-interaction,Continuous,2,4,10,interaction,sf3,4,SparkQueryExecutor,RandomVertexCut$,8113,9,1108464,29583,1146243,1702887424,1028158240,674729184,141335986169,127083250654,14252735515,14250314960,0,14927464699,643,13592,13590,0,14235
