runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,Continuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4067,6,73848,22376,100310,1630535680,1123557864,506977816,57896494691,50355971474,7540523217,7538885752,0,8047501033,483,7191,7189,0,7674
1,city-num-interaction,Continuous,2,4,25,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5907,18,84975,18191,109245,1587544064,1215867432,371676632,35933021796,29099121976,6833899820,6833081824,0,7205576452,354,6517,6516,0,6871
1,city-num-interaction,Continuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3837,8,59444,17001,80467,1599602688,1204358368,395244320,53503800112,47098268431,6405531681,6403530008,0,6800776001,376,6108,6106,0,6485
1,city-num-interaction,Continuous,2,4,1,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5419,11,57726,12728,75921,1581252608,1165685272,415567336,62289189270,56830147462,5459041808,5457426832,0,5874609144,396,5206,5204,0,5602
1,city-num-interaction,Continuous,2,4,50,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3392,6,59028,16293,78732,1611137024,1220990872,390146152,53503800112,46306576877,7197223235,7195398488,0,7587390483,372,6863,6862,0,7235
1,city-num-interaction,Continuous,2,4,5,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4090,6,61959,15697,81828,1628962816,1294410240,334552576,49111105533,42991307666,6119797867,6118048608,0,6454350443,319,5836,5834,0,6155
2,city-num-interaction,Continuous,2,4,25,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3728,12,61096,16907,81841,1643118592,1006464296,636654296,57896494691,51061900094,6834594597,6833099088,0,7471248893,607,6517,6516,0,7125
2,city-num-interaction,Continuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3846,5,71751,21975,97596,1645740032,1020591160,625148872,57896494691,50389518542,7506976149,7505079136,0,8132125021,596,7159,7157,0,7755
2,city-num-interaction,Continuous,2,4,50,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4064,7,71060,16610,91947,1648361472,1067912432,580449040,57896494691,50749788752,7146705939,7145069400,0,7727162963,553,6815,6814,0,7369
2,city-num-interaction,Continuous,2,4,5,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,7482,14,56059,17391,80987,1661468672,948333288,713135384,88645356744,82491556037,6153800707,6151766560,0,6866946179,680,5868,5866,0,6548
