runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,9872,17,9733,2387,22092,1577058304,1242173880,334884424,75456577532,73834620218,1621957314,1620445008,0,1956841738,319,1546,1545,0,1866
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,9401,9,31500,7617,48547,1582301184,1193058080,389243104,75456577532,73885448034,1571129498,1569659936,0,1960372602,371,1498,1496,0,1869
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,7082,9,28472,6946,42529,1607467008,1244554864,362912144,75456577532,73885318730,1571258802,1569659936,0,1934212530,346,1498,1496,0,1844
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,7103,12,29559,6823,43510,1622671360,1301255936,321415424,75456577532,73885519478,1571058054,1569659936,0,1892473478,306,1498,1496,0,1804
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,8002,10,30441,7474,45940,1630011392,1327672896,302338496,75456577532,73885538444,1571039088,1569659936,0,1873377584,288,1498,1496,0,1786
6,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,7569,6,29064,6935,43589,1631059968,1343802520,287257448,75456577532,73885516849,1571060683,1569659936,0,1858318131,273,1498,1496,0,1772
7,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,7421,9,27848,6252,41546,1637351424,1214428144,422923280,75456577532,73885264530,1571313002,1569659936,0,1994236282,403,1498,1496,0,1901
8,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,6538,9,29760,6391,42715,1641021440,1135259992,505761448,75456577532,73885409073,1571168459,1569659936,0,2076949019,482,1498,1496,0,1980
9,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,6469,10,30345,7056,43894,1646788608,1317083032,329705576,75456577532,73885476446,1571101086,1569659936,0,1900834342,314,1498,1496,0,1812
10,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,16,SparkQueryExecutor,RandomVertexCut$,7216,5,27884,7343,42458,1646264320,1170802688,475461632,75456577532,73885361684,1571215848,1569659936,0,2046677480,453,1498,1496,0,1951
