runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,12280,25,44656,11160,68272,1602224128,1249567120,352657008,35868848945,34298567361,1570281584,1569659936,0,1922938592,336,1497,1496,0,1833
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,9471,14,34330,8026,51872,1489502208,1080566744,408935464,49046932682,47475743322,1571189360,1569659936,0,1980179080,390,1498,1496,0,1888
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,11263,16,28233,7384,46940,1598029824,1186173808,411856016,62225016419,60653730230,1571286189,1569659936,0,1983172357,392,1498,1496,0,1891
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,6128,14,28662,6491,41347,1613234176,1247379344,365854832,66617710998,65046600720,1571110278,1569659936,0,1936986222,348,1498,1496,0,1847
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,8517,10,33802,8658,51004,1610612736,1250549608,360063128,66617710998,65046761919,1570949079,1569659936,0,1931032351,343,1498,1496,0,1841
6,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,7160,12,33094,8917,49284,1615855616,1280939368,334916248,71010405577,69439631008,1570774569,1569659936,0,1905690817,319,1498,1496,0,1817
7,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,6882,12,27076,7288,41274,1627914240,1206201880,421712360,71010405577,69438977911,1571427666,1569659936,0,1993140026,402,1498,1496,0,1900
8,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,6845,7,28977,6907,42750,1627914240,1133632608,494281632,71010405577,69439215452,1571190125,1569659936,0,2065482341,471,1498,1496,0,1969
9,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,9030,13,28698,6673,44453,1625817088,1326324824,299492264,75403100156,73832197383,1570902773,1569659936,0,1870409781,285,1498,1496,0,1783
10,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,6975,12,30599,6881,44504,1625292800,1153426304,471866496,75403100156,73831845036,1571255120,1569659936,0,2043130592,450,1498,1496,0,1948
