runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,12320,20,17643,5139,35232,1606942720,1062782144,544160576,62296739018,60725723427,1571015591,1569659936,0,2115176167,518,1498,1496,0,2017
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,2800,7,16828,4031,23686,1604845568,1237831272,367014296,62296739018,60725940937,1570798081,1569659936,0,1937812377,350,1498,1496,0,1848
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,1516,9,11900,3173,16615,1610088448,1259971840,350116608,62296739018,60725835415,1570903603,1569659936,0,1921052939,333,1498,1496,0,1832
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,1451,5,11637,3159,16267,1556086784,1251235976,304850808,62296739018,60709225838,1587513180,1586357728,0,1892363988,290,1513,1512,0,1804
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,1322,9,11470,3054,16013,1624244224,1327183736,297060488,62296739018,60726094558,1570644460,1569659936,0,1867789684,283,1497,1496,0,1781
6,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,1219,10,13462,3304,18008,1657798656,1038868216,618930440,62296739018,60725419866,1571319152,1569659936,0,2190249592,590,1498,1496,0,2088
7,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,1233,5,11490,3114,15908,1648361472,994742224,653619248,62296739018,60725722331,1571016687,1569659936,0,2224655295,623,1498,1496,0,2121
8,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,1359,6,11205,3082,15664,1661992960,1220687040,441305920,62296739018,60725940057,1570798961,1569659936,0,2012117017,420,1498,1496,0,1918
9,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,1279,5,13316,3256,17867,1677197312,993266936,683930376,62296739018,60725653396,1571085622,1569659936,0,2255026558,652,1498,1496,0,2150
10,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,1,SparkQueryExecutor,RandomVertexCut$,1233,4,13954,3190,18393,1679818752,1286498368,393320384,62296739018,60708882699,1587856319,1586663760,0,1981196647,375,1514,1513,0,1889
