runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,12228,26,12100,2889,27387,1582825472,1196051032,386774440,62225645565,60655018330,1570627235,1569659936,0,1960649211,371,1497,1496,0,1869
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,5257,11,14473,3494,23258,1581252608,1149966232,431286376,66618340144,65029560435,1588779709,1586660864,0,2020066085,411,1515,1513,0,1926
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,5078,12,14046,3220,22410,1602748416,1210042248,392706168,71011034723,69439456015,1571578708,1569659936,0,1964284876,374,1498,1496,0,1873
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,5032,13,12524,2645,20294,1614282752,1243787112,370495640,71011034723,69422392635,1588642088,1586493368,0,1959137728,353,1515,1512,0,1868
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,4519,13,11902,3175,19622,1627914240,1285655800,342258440,71011034723,69439428803,1571605920,1569659936,0,1913882424,326,1498,1496,0,1825
6,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,5873,13,12350,2853,21120,1627389952,1294239640,333150312,75403729302,73832330717,1571398585,1569659936,0,1904569569,317,1498,1496,0,1816
7,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,3830,12,12419,2830,19109,1633681408,1098496192,535185216,75403729302,73832003350,1571725952,1569659936,0,2106918088,510,1498,1496,0,2009
8,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,3915,13,9048,2465,15456,1638924288,1009325352,629598936,75403729302,73831919035,1571810267,1569659936,0,2201414971,600,1498,1496,0,2099
9,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,4099,11,9575,2337,16178,1642594304,1090017304,552577000,75403729302,73815257826,1588471476,1586507976,0,2141069948,526,1514,1513,0,2041
10,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,4269,11,9072,2521,15886,1652555776,999034592,653521184,75403729302,73815566332,1588162970,1586596040,0,2241690346,623,1514,1513,0,2137
