runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,5614,20,27168,6571,39581,1582301184,1079328976,502972208,31517048830,29946710730,1570338100,1569659936,0,2073310308,479,1497,1496,0,1977
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,5047,12,18814,4782,28681,1586495488,1215982048,370513440,35909743409,34338600538,1571142871,1569659936,0,1941656311,353,1498,1496,0,1851
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,5767,8,12444,2600,20864,1602224128,1242873656,359350472,53480521725,51909344683,1571177042,1569659936,0,1930527514,342,1498,1496,0,1841
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,6449,10,14162,3698,24367,1549271040,1237464312,311806728,62265910883,60694424141,1571486742,1569659936,0,1883311390,297,1498,1496,0,1796
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,5210,7,9198,2469,16925,1619525632,1296203624,323322008,71051300041,69446119026,1605181015,1603508904,0,1928503023,308,1530,1529,0,1839
6,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,6317,8,10186,2567,19118,1652555776,1021763392,630792384,79836689199,78247106325,1589582874,1586660864,0,2220375258,601,1515,1513,0,2117
7,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,5240,8,8835,2302,16431,1648885760,1204311456,444574304,88622078357,87050258624,1571819733,1569659936,0,2016394037,423,1499,1496,0,1923
8,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,6640,5,12070,3599,22331,1659895808,1121033216,538862592,88622078357,87033433314,1588645043,1586476904,0,2127523139,513,1515,1512,0,2028
9,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,5252,5,7680,2044,14998,1680867328,1279730296,401137032,88622078357,87033330908,1588747449,1586660864,0,1989884481,382,1515,1513,0,1897
10,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,2,SparkQueryExecutor,RandomVertexCut$,5472,8,8370,2018,15884,1678770176,1152824600,525945576,88622078357,86949071346,1673007011,1670840048,0,2198962435,501,1595,1593,0,2097
