runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,8841,23,14591,3293,26831,1580728320,1209964112,370764208,35923270040,34335639827,1587630213,1586493368,0,1958394421,353,1514,1512,0,1867
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4725,9,12467,2852,20066,1589641216,1159995848,429645368,35923270040,34351977391,1571292649,1569659936,0,2000938017,409,1498,1496,0,1908
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3794,8,7844,1771,13428,1607991296,1212402104,395589192,35923270040,34318172357,1605097683,1603508904,0,2000686875,377,1530,1529,0,1908
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4001,7,11296,3012,18348,1612185600,1244384088,367801512,35923270040,34318353323,1604916717,1603341408,0,1972722341,350,1530,1529,0,1881
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3362,8,11071,2965,17416,1624244224,1286560944,337683280,35923270040,34352203244,1571066796,1569659936,0,1908750076,322,1498,1496,0,1820
6,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3444,9,17234,4507,25203,1638400000,1326272080,312127920,35923270040,34352264532,1571005508,1569659936,0,1883133428,297,1498,1496,0,1795
7,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4161,8,6757,1974,12909,1639972864,1176325192,463647672,35923270040,34334870298,1588399742,1586660864,0,2052047414,442,1514,1513,0,1956
8,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4114,8,6229,1886,12246,1643118592,1095860984,547257608,35923270040,34351881972,1571388068,1569659936,0,2118647764,521,1498,1496,0,2020
9,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3764,7,9089,2563,15431,1650982912,1275377144,375605768,35923270040,34335408791,1587861249,1586493368,0,1963481449,358,1514,1512,0,1872
10,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3314,6,8095,2202,13627,1663565824,1156912304,506653520,35923270040,34335193874,1588076166,1586596040,0,2094729686,483,1514,1513,0,1997
