runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5769,16,15885,3472,25240,1579679744,1239629488,340050256,35869478091,34265288458,1604189633,1603361552,0,1944239889,324,1529,1529,0,1857
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4223,9,10110,2064,16443,1585971200,1187808840,398162360,40262172670,38690792543,1571380127,1569659936,0,1969542487,379,1498,1496,0,1878
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3677,5,10389,2446,16531,1603272704,1251248792,352023912,40262172670,38690934054,1571238616,1569659936,0,1923262528,335,1498,1496,0,1834
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3736,6,7669,2277,13701,1610612736,1286645136,323967600,40262172670,38673909527,1588263143,1586660864,0,1912230743,308,1514,1513,0,1823
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3723,10,10115,2357,16215,1626865664,1334705416,292160248,40262172670,38691113500,1571059170,1569659936,0,1863219418,278,1498,1496,0,1776
6,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4266,6,8823,1972,15077,1570766848,956158248,614608600,40262172670,38656315175,1605857495,1603476320,0,2220466095,586,1531,1529,0,2117
7,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3973,7,12067,2597,18653,1640497152,1223788864,416708288,40262172670,38690645912,1571526758,1569659936,0,1988260854,397,1498,1496,0,1896
8,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4125,5,11557,2559,18257,1644167168,1139783040,504384128,40262172670,38690769712,1571402958,1569659936,0,2075787086,481,1498,1496,0,1979
9,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3762,7,10078,2300,16158,1651507200,1323564640,327942560,40262172670,38657344285,1604828385,1603191160,0,1932784785,312,1530,1528,0,1843
10,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,3486,6,9668,2298,15467,1665662976,1198824056,466838920,40262172670,38673901798,1588270872,1586660864,0,2055109792,445,1514,1513,0,1959
