runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,9533,22,10174,2742,22559,1583874048,1249865896,334008152,53463849367,51842251983,1621597384,1620294760,0,1955605536,318,1546,1545,0,1865
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,6886,13,9548,1989,18573,1588592640,1182317328,406275312,71034627683,69412196813,1622430870,1620445008,0,2028706182,387,1547,1545,0,1934
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,6882,14,10915,3085,20938,1614282752,1249827040,364455712,75427322262,73821953800,1605368462,1603444080,0,1969824174,347,1530,1529,0,1878
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,5375,9,8129,2039,15565,1611137024,1254115664,357021360,75427322262,73838614426,1588707836,1586660864,0,1945729196,340,1515,1513,0,1855
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,5018,13,14438,3414,22898,1625817088,1303727120,322089968,75427322262,73855950000,1571372262,1569659936,0,1893475382,307,1498,1496,0,1805
6,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,5330,9,8640,2651,16644,1639972864,1338225728,301747136,75427322262,73720866067,1706456195,1704677304,0,2008203331,287,1627,1625,0,1915
7,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,4731,5,7157,1900,13808,1642070016,1127228200,514841816,75427322262,73720418592,1706903670,1704677304,0,2221754446,490,1627,1625,0,2118
8,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,4812,9,9564,2385,16783,1645215744,1033463232,611752512,75427322262,73855588644,1571733618,1569659936,0,2183486130,583,1498,1496,0,2082
9,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,4584,5,8588,2332,15520,1657798656,1123444552,534354104,75427322262,73754422422,1672899840,1671146080,0,2207253944,509,1595,1593,0,2105
10,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,4822,9,7376,1877,14093,1658322944,1018765552,639557392,75427322262,73839282556,1588039706,1586476904,0,2227602298,609,1514,1512,0,2124
