runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,11435,20,14767,3466,29826,1579679744,1198718504,380961240,75470104163,73848608841,1621495322,1620277512,0,2002456562,363,1546,1545,0,1909
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,7400,14,10040,2183,19716,1578106880,1150238016,427868864,79862798742,78206388586,1656410156,1654142256,0,2084279020,408,1579,1577,0,1987
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,5441,7,9294,2292,17372,1588068352,1209934440,378133912,79862798742,78257155021,1605643721,1603508904,0,1983812553,360,1531,1529,0,1891
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,5191,5,8142,2157,15512,1604321280,1236840928,367480352,79862798742,78240269293,1622529449,1620512728,0,1990009801,350,1547,1545,0,1897
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,4931,5,12794,2189,19937,1602748416,1252042928,350705488,79862798742,78291293710,1571505032,1569659936,0,1922225296,334,1498,1496,0,1833
6,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,5368,10,10211,2061,17664,1609564160,1275428464,334135696,79862798742,78274281732,1588517010,1586660864,0,1922667114,318,1514,1513,0,1833
7,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,5344,7,9180,2842,17384,1609039872,1057341784,551698088,79862798742,78291137950,1571660792,1569659936,0,2123372112,526,1498,1496,0,2025
8,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,4529,5,7623,1921,14092,1628962816,1000448192,628514624,79862798742,78274051040,1588747702,1586660864,0,2217262326,599,1515,1513,0,2114
9,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,5152,5,8937,2750,16857,1636302848,1071325016,564977832,79862798742,78291281800,1571516942,1569659936,0,2136498886,538,1498,1496,0,2037
10,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,8,SparkQueryExecutor,RandomVertexCut$,5031,6,7278,1970,14299,1649410048,992733360,656676688,79862798742,78257667679,1605131063,1603508904,0,2261807751,626,1530,1529,0,2157
