runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,10,12,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4885,8,52827,2849,60581,1632632832,993820080,638812752,71044064867,69163490466,1880574401,1878560344,0,2519387153,609,1793,1791,0,2402
1,city-num-interaction,PairwiseContinuous,8,10,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6642,8,43051,7635,57374,1613234176,1013796432,599437744,71044064867,69157193165,1886871702,1885404328,0,2486313558,571,1799,1798,0,2371
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5560,17,15201,3510,24360,1587544064,1209781928,377762136,35902508235,34331957309,1570550926,1569659936,0,1948313062,360,1497,1496,0,1858
1,city-num-interaction,PairwiseContinuous,6,8,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6002,8,37856,5831,49740,1579679744,1069553336,510126408,53473286551,51567420334,1905866217,1904061976,0,2415992625,486,1817,1815,0,2304
1,city-num-interaction,PairwiseContinuous,4,6,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5278,7,14481,3084,22862,1650982912,985534592,665448320,71044064867,69159602085,1884462782,1882431512,0,2549918902,634,1797,1795,0,2431
1,city-num-interaction,PairwiseContinuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4961,7,2050,509,7537,1604845568,1046782336,558063232,71044064867,70150115465,893949402,891828816,0,1452018394,532,852,850,0,1384
2,city-num-interaction,PairwiseContinuous,10,12,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4601,6,58427,3098,66145,1701314560,1294696680,406617880,71044064867,69147214546,1896850321,1895408384,0,2303477777,387,1808,1807,0,2196
2,city-num-interaction,PairwiseContinuous,8,10,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4798,7,39709,7789,52313,1704460288,996166072,708294216,66651370288,64764628192,1886742096,1885404328,0,2595048872,675,1799,1798,0,2474
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,8075,7,9635,2687,20445,1701314560,1057955736,643358824,66651370288,65080072879,1571297409,1569659936,0,2214661593,613,1498,1496,0,2112
2,city-num-interaction,PairwiseContinuous,6,8,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5115,7,29036,4126,38295,1671954432,965670952,706283480,71044064867,69155462676,1888602191,1887061048,0,2594885671,673,1801,1799,0,2474
2,city-num-interaction,PairwiseContinuous,4,6,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5059,7,18842,4005,27922,1704460288,974159480,730300808,66651370288,64784344180,1867026108,1865614544,0,2597333212,696,1780,1779,0,2477
2,city-num-interaction,PairwiseContinuous,1,2,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5997,8,2416,837,9268,1701314560,1089686936,611627624,66651370288,65791638022,859732266,858044672,0,1471364002,583,819,818,0,1403
