runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,CanonicalRandomVertexCut$,5542,8,8678,2323,16592,1598554112,1197773488,400780624,84235989807,82562640275,1673349532,1671146080,0,2074154876,382,1595,1593,0,1978
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition1D$,6165,11,10849,2126,19184,1586495488,1138846128,447649360,57879822333,56326790297,1553032036,1551179032,0,2000727484,426,1481,1479,0,1908
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,8868,26,10429,2836,22248,1574436864,1170363920,404072944,40309044017,38687442408,1621601609,1620413936,0,2029232809,388,1546,1545,0,1935
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition2D$,5281,10,6794,1241,13372,1593835520,1178527240,415308280,75450600649,74218191245,1232409404,1230571568,0,1647717684,396,1175,1173,0,1571
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,CanonicalRandomVertexCut$,5572,8,7148,1995,14732,1618477056,1016713152,601763904,84235989807,82562857499,1673132308,1671146080,0,2274896212,573,1595,1593,0,2169
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition1D$,5428,9,7163,2247,14859,1609039872,1231523128,377516744,84235989807,82631003548,1604986259,1602761984,0,1982521467,360,1530,1528,0,1890
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition2D$,4680,9,6164,1358,12227,1614282752,1026401088,587881664,84235989807,82971780535,1264209272,1261841960,0,1852090936,560,1205,1203,0,1766
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4851,9,7764,1979,14625,1612185600,1226020856,386164744,84235989807,82630346217,1605643590,1603508904,0,1991808334,368,1531,1529,0,1899
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,CanonicalRandomVertexCut$,4265,9,6961,1846,13091,1626865664,991342896,635522768,84235989807,82630581558,1605408249,1603508904,0,2240945369,606,1531,1529,0,2137
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition2D$,5608,7,6447,1560,13634,1641021440,964359496,676661944,84235989807,82969019958,1266969849,1265242584,0,1943631793,645,1208,1206,0,1853
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition1D$,5215,7,8732,1944,15905,1664614400,992342632,672271768,84235989807,82630625823,1605363984,1602761984,0,2277643368,641,1530,1528,0,2172
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5168,9,6816,1913,13915,1653604352,998432752,655171600,84235989807,82647272653,1588717154,1586660864,0,2243888754,624,1515,1513,0,2139
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,CanonicalRandomVertexCut$,4328,8,7238,1878,13459,1704460288,1002435984,702024304,84235989807,82647277804,1588712003,1586660864,0,2290749627,669,1515,1513,0,2186
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition2D$,4908,8,8678,1735,15338,1707606016,1351170128,356435888,84235989807,83053898508,1182091299,1180059096,0,1538592259,339,1127,1125,0,1467
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition1D$,4903,7,9442,2493,16855,1706557440,1274661304,431896136,84235989807,82680277235,1555712572,1553979624,0,1987614532,411,1483,1481,0,1895
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4853,8,9022,2063,15955,1705508864,959528096,745980768,84235989807,82664470190,1571519617,1569659936,0,2317506121,711,1498,1496,0,2210
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,CanonicalRandomVertexCut$,4290,8,6848,1918,13073,1707081728,1135223024,571858704,84235989807,82596914823,1639074984,1637278440,0,2210941184,545,1563,1561,0,2108
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4877,7,6884,1825,13603,1707606016,1027697440,679908576,84235989807,82647125959,1588863848,1586660864,0,2268772424,648,1515,1513,0,2163
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition1D$,5162,8,9555,2807,17555,1707606016,1258997408,448608608,84235989807,82697285741,1538704066,1536344312,0,1987318906,427,1467,1465,0,1895
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition2D$,4190,8,5808,1278,11293,1708654592,1243143872,465510720,84235989807,82972701901,1263287906,1261202024,0,1728803434,443,1204,1202,0,1648
6,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,CanonicalRandomVertexCut$,4385,9,6392,1793,12621,1708130304,1377259128,330871176,84235989807,82596591896,1639397911,1637448832,0,1970273223,315,1563,1561,0,1879
6,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,EdgePartition1D$,5266,7,8954,1949,16184,1709178880,1033385224,675793656,84235989807,82714855345,1521134462,1518933776,0,2196932286,644,1450,1448,0,2095
