_1,_2
CanonicalRandomVertexCut$,16592
CanonicalRandomVertexCut$,14732
CanonicalRandomVertexCut$,13091
CanonicalRandomVertexCut$,13459
CanonicalRandomVertexCut$,13073
CanonicalRandomVertexCut$,12621
CanonicalRandomVertexCut$,12796
CanonicalRandomVertexCut$,16849
CanonicalRandomVertexCut$,13166
CanonicalRandomVertexCut$,13129
EdgePartition1D$,19184
EdgePartition1D$,14859
EdgePartition1D$,15905
EdgePartition1D$,16855
EdgePartition1D$,17555
EdgePartition1D$,16184
EdgePartition1D$,13807
EdgePartition1D$,12807
EdgePartition1D$,13440
EdgePartition1D$,13273
EdgePartition2D$,13372
EdgePartition2D$,12227
EdgePartition2D$,13634
EdgePartition2D$,15338
EdgePartition2D$,11293
EdgePartition2D$,11977
EdgePartition2D$,11325
EdgePartition2D$,13426
EdgePartition2D$,11029
EdgePartition2D$,11067
RandomVertexCut$,22248
RandomVertexCut$,14625
RandomVertexCut$,13915
RandomVertexCut$,15955
RandomVertexCut$,13603
RandomVertexCut$,16489
RandomVertexCut$,15514
RandomVertexCut$,12891
RandomVertexCut$,13515
RandomVertexCut$,16503
