runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5825,22,16678,4360,26968,1563951104,1232588792,331362312,35940571544,34353420877,1587150667,1586493368,0,1918512979,316,1513,1512,0,1829
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf3,4,SparkQueryExecutor,RandomVertexCut$,8552,6,33286,5889,47787,1620574208,1096745512,523828696,57904044439,53019370151,4884674288,4882432880,0,5408502984,499,4658,4656,0,5157
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf0_3,4,SparkQueryExecutor,RandomVertexCut$,5847,6,2927,789,9619,1549271040,1264984376,284286664,49118655281,48781758949,336896332,335713544,0,621182996,271,321,320,0,592
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf0_1,4,SparkQueryExecutor,RandomVertexCut$,4175,12,1800,414,6414,1601175552,1289002176,312173376,35940571544,35860716663,79854881,78807272,0,392047873,297,76,75,0,373
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf0_003,4,SparkQueryExecutor,RandomVertexCut$,3704,13,1692,571,5999,1575485440,1245539744,329945696,35940571544,35938991145,1580399,722280,0,331526095,314,1,0,0,316
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf3,4,SparkQueryExecutor,RandomVertexCut$,8245,10,51570,6034,65969,1679294464,996762880,682531584,66689433597,62128404753,4561028844,4558962616,0,5243560428,650,4349,4347,0,5000
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4961,7,13790,2914,21686,1637351424,1171438192,465913232,57904044439,56332744497,1571299942,1569659936,0,2037213174,444,1498,1496,0,1942
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf0_3,4,SparkQueryExecutor,RandomVertexCut$,4644,13,3441,1129,9240,1688207360,1296203256,392004104,66689433597,66352106726,337326871,335713544,0,729346927,373,321,320,0,695
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf0_1,4,SparkQueryExecutor,RandomVertexCut$,3215,7,1146,386,4765,1642594304,1175678432,466915872,57904044439,57824002329,80042110,78807272,0,546957982,445,76,75,0,521
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf0_003,4,SparkQueryExecutor,RandomVertexCut$,4139,10,775,224,5159,1663565824,1154041240,509524584,57904044439,57902414781,1629658,722280,0,511168058,485,1,0,0,487
