runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5063,11,12838,3468,21393,1708654592,1234133024,474521568,79795794735,78224232389,1571562346,1569659936,0,2046093578,452,1498,1496,0,1951
1,city-num-interaction,PairwiseContinuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5057,7,19103,6556,30736,1707081728,1044176360,662905368,79795794735,76637759035,3158035700,3156211168,0,3820951492,632,3011,3009,0,3643
1,city-num-interaction,PairwiseContinuous,2,4,50,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4374,8,21702,5727,31822,1707606016,1182869872,524736144,79795794735,77246050092,2549744643,2547978304,0,3074485163,500,2431,2429,0,2932
1,city-num-interaction,PairwiseContinuous,2,4,25,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4357,11,11129,2997,18507,1704460288,978419008,726041280,79795794735,77791856593,2003938142,2002378488,0,2729988822,692,1911,1909,0,2603
1,city-num-interaction,PairwiseContinuous,2,4,1,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5530,20,12587,2508,20726,1578106880,1242586328,335520552,27083459787,25916220025,1167239762,1166538672,0,1502760314,319,1113,1112,0,1433
1,city-num-interaction,PairwiseContinuous,2,4,5,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5284,10,6202,1445,12954,1653080064,986837160,666242904,79795794735,78383431663,1412363072,1410291768,0,2078617624,635,1346,1344,0,1982
2,city-num-interaction,PairwiseContinuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5247,11,15221,5173,25664,1703411712,1189480400,513931312,79795794735,76637040688,3158754047,3156211168,0,3672691671,490,3012,3009,0,3502
2,city-num-interaction,PairwiseContinuous,2,4,25,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4770,12,10092,2829,17754,1707606016,1113702520,593903496,79795794735,77690202303,2105592432,2103558600,0,2699509656,566,2008,2006,0,2574
2,city-num-interaction,PairwiseContinuous,2,4,50,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4398,7,14259,4555,23229,1706557440,1178013616,528543824,79795794735,77262753805,2533040930,2531130264,0,3061588210,504,2415,2413,0,2919
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5744,6,11167,2952,19883,1708654592,1076439696,632214896,79795794735,78224307491,1571487244,1569659936,0,2203708028,602,1498,1496,0,2101
2,city-num-interaction,PairwiseContinuous,2,4,1,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,8588,13,7236,1421,17310,1575485440,1150914368,424571072,44654238103,43469186157,1185051946,1183542496,0,1609627130,404,1130,1128,0,1535
2,city-num-interaction,PairwiseContinuous,2,4,5,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5108,7,6985,1760,13874,1673527296,1072999872,600527424,79795794735,78350156368,1445638367,1443955264,0,2046171031,572,1378,1377,0,1951
3,city-num-interaction,PairwiseContinuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4733,9,36787,10753,52294,1703411712,1182793760,520617952,79795794735,76637187178,3158607557,3156211168,0,3679229781,496,3012,3009,0,3509
3,city-num-interaction,PairwiseContinuous,2,4,50,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5841,11,14344,5105,25315,1707606016,1118908352,588697664,79795794735,77212177517,2583617218,2581794688,0,3172321426,561,2463,2462,0,3025
3,city-num-interaction,PairwiseContinuous,2,4,25,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,4935,7,10248,2815,18014,1706557440,1192366272,514191168,79795794735,77723484938,2072309797,2070064712,0,2586508069,490,1976,1974,0,2466
3,city-num-interaction,PairwiseContinuous,2,4,1,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5664,12,7691,1565,14968,1585446912,1201884112,383562800,62225016419,61056761379,1168255040,1166538672,0,1551848152,365,1114,1112,0,1479
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5268,6,8535,2358,16179,1707081728,1201045400,506036328,79795794735,78156858053,1638936682,1637448832,0,2144982986,482,1563,1561,0,2045
