topK,totalExecutionTime
1,20726
1,17310
1,14968
1,13383
1,20416
1,11679
1,14891
1,19201
1,12244
1,12157
5,12954
5,13874
5,13610
5,13641
5,13839
5,13100
5,17480
5,16488
5,12177
5,13138
10,21393
10,19883
10,16179
10,13837
10,13321
10,24140
10,21494
10,14548
10,14237
10,15743
25,18507
25,17754
25,18014
25,21846
25,16340
25,18021
25,17830
25,18434
25,18088
25,20316
50,31822
50,23229
50,25315
50,24330
50,23175
50,38193
50,24254
50,29821
50,29827
50,25203
100,30736
100,25664
100,52294
100,31178
100,28488
100,32310
100,27885
100,36187
100,24133
100,30304
