_1,_2
1,1524429902
1,1551041631
1,1527552794
1,1487721190
1,1452956536
1,1766816812
1,1790823498
1,1588052400
1,1866979834
1,1888378952
10,2278404611
10,2331955475
10,2253607850
10,2294575014
10,2288586206
10,2300153811
10,2314254110
10,2309568763
10,2320613663
10,2321113379
100,3861586433
100,3866318483
100,3864483662
100,3874617987
100,3865742757
100,3863768730
100,3888860075
100,3877271185
100,3560691568
100,3868687229
25,2397158635
25,2298541168
25,2768702022
25,2765662540
25,2414519478
25,2767622647
25,2768408988
25,2747294616
25,2772034770
25,2763667181
5,1826717886
5,1794499502
5,1887328042
5,1727308674
5,1868097172
5,1957340141
5,1909982063
5,1931358604
5,2028979430
5,2036161760
50,3270535237
50,3259010909
50,2887669311
50,3241614509
50,3250199525
50,3246838859
50,2914109145
50,3222989259
50,3230126439
50,3235987698
