runNumber,queryName,pathType,minLength,maxLength,topK,graphName,graphSize,sparkExecutorInstances,executorName,partitionStrategy,subgraphPhaseTime,weightMapPhaseTime,pregelPhaseTime,pathConstructionPhaseTime,totalExecutionTime,driverTotalMemory,driverMemoryFree,driverMemoryUsed,totalSparkExecutorMemoryAllocated,totalSparkExecutorMemoryFree,totalSparkExecutorMemoryUsed,totalRDDMemorySize,totalRDDDiskSize,totalMemoryUsed,driverMemoryUsedMB,totalSparkExecutorMemoryUsedMB,totalRDDMemorySizeMB,totalRDDDiskSizeMB,totalMemoryUsedMB
1,city-num-interaction,PairwiseContinuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1987,8,38863,15362,56262,1706557440,1002597192,703960248,53439627261,50282001076,3157626185,3156211168,0,3861586433,671,3011,3009,0,3682
1,city-num-interaction,PairwiseContinuous,2,4,25,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,7294,5,34131,8546,50044,1708130304,1314400952,393729352,71010405577,69006976294,2003429283,2002378488,0,2397158635,375,1910,1909,0,2286
1,city-num-interaction,PairwiseContinuous,2,4,1,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6477,18,10496,2097,19162,1577582592,1254259840,323322752,22690765208,21489658058,1201107150,1200240288,0,1524429902,308,1145,1144,0,1453
1,city-num-interaction,PairwiseContinuous,2,4,50,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6728,5,45141,11544,63432,1706557440,951789320,754768120,62225016419,59709249302,2515767117,2514129336,0,3270545757,719,2399,2397,0,3119
1,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6317,11,27204,6810,40355,1707081728,999692248,707389480,66617710998,65046695867,1571015131,1569659936,0,2278415939,674,1498,1496,0,2172
1,city-num-interaction,PairwiseContinuous,2,4,5,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1433,7,10872,2741,15066,1685585920,1236534992,449050928,27083459787,25705792829,1377666958,1376593048,0,1826730574,428,1313,1312,0,1742
2,city-num-interaction,PairwiseContinuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1890,4,36314,13246,51463,1703936000,995462880,708473120,53439627261,50281781898,3157845363,3156211168,0,3866324883,675,3011,3009,0,3687
2,city-num-interaction,PairwiseContinuous,2,4,50,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6282,7,53191,15245,74746,1706557440,962722040,743835400,57832321840,55317146331,2515175509,2514129336,0,3259010909,709,2398,2397,0,3108
2,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,7129,13,25542,6141,38864,1706557440,945521912,761035528,71010405577,69439485630,1570919947,1569659936,0,2331967915,725,1498,1496,0,2223
2,city-num-interaction,PairwiseContinuous,2,4,5,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,12125,9,23801,5032,41019,1695547392,1279139272,416408120,62225016419,60846925037,1378091382,1376593048,0,1794510806,397,1314,1312,0,1712
2,city-num-interaction,PairwiseContinuous,2,4,25,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,7249,5,34687,8274,50242,1708130304,1413297592,294832712,71010405577,69006697121,2003708456,2002378488,0,2298541168,281,1910,1909,0,2192
2,city-num-interaction,PairwiseContinuous,2,4,1,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2592,6,10271,2235,15121,1573912576,1190385728,383526848,22690765208,21523250425,1167514783,1166538672,0,1551041631,365,1113,1112,0,1479
3,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6212,10,30668,8250,45152,1707606016,1024781928,682824088,71010405577,69439621815,1570783762,1569659936,0,2253615098,651,1498,1496,0,2149
3,city-num-interaction,PairwiseContinuous,2,4,50,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2554,6,36771,11587,50949,1706033152,1333468888,372564264,40261543524,37746438477,2515105047,2514129336,0,2887672463,355,2398,2397,0,2753
3,city-num-interaction,PairwiseContinuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1866,9,35043,13264,50194,1704460288,997578272,706882016,53439627261,50282025615,3157601646,3156211168,0,3864483662,674,3011,3009,0,3685
3,city-num-interaction,PairwiseContinuous,2,4,25,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6096,9,42064,11602,59824,1701314560,936186016,765128544,71010405577,69006832099,2003573478,2002378488,0,2768710574,729,1910,1909,0,2640
3,city-num-interaction,PairwiseContinuous,2,4,5,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,7351,5,22802,5288,35461,1697644544,1188334088,509310456,62225016419,60846998833,1378017586,1376593048,0,1887340818,485,1314,1312,0,1799
3,city-num-interaction,PairwiseContinuous,2,4,1,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1776,7,8070,1709,11576,1594884096,1234927480,359956616,22690765208,21523169030,1167596178,1166538672,0,1527552794,343,1113,1112,0,1456
4,city-num-interaction,PairwiseContinuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1815,4,42136,15297,59267,1706033152,988877136,717156016,57832321840,54674859869,3157461971,3156211168,0,3874627819,683,3011,3009,0,3695
4,city-num-interaction,PairwiseContinuous,2,4,50,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1998,4,31590,10230,43845,1703411712,977037080,726374632,40261543524,37746303647,2515239877,2514129336,0,3241614509,692,2398,2397,0,3091
4,city-num-interaction,PairwiseContinuous,2,4,5,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6878,4,21762,4941,33622,1702363136,1352948008,349415128,62225016419,60847122873,1377893546,1376593048,0,1727323266,333,1314,1312,0,1647
4,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6541,7,25408,7102,39075,1707081728,983439240,723642488,71010405577,69439473051,1570932526,1569659936,0,2294575014,690,1498,1496,0,2188
4,city-num-interaction,PairwiseContinuous,2,4,25,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,5713,7,34312,8355,48423,1707606016,945889896,761716120,57832321840,55828375420,2003946420,2002378488,0,2765669868,726,1911,1909,0,2637
4,city-num-interaction,PairwiseContinuous,2,4,1,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,1473,8,7708,1886,11157,1612709888,1309461376,303248512,22690765208,21506292530,1184472678,1183539600,0,1487721190,289,1129,1128,0,1418
5,city-num-interaction,PairwiseContinuous,2,4,100,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2049,4,43054,15830,60969,1704984576,996704080,708280496,57832321840,54674859579,3157462261,3156211168,0,3865748285,675,3011,3009,0,3686
5,city-num-interaction,PairwiseContinuous,2,4,25,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6232,11,36614,9193,52090,1706557440,1295605144,410952296,62225016419,60221449237,2003567182,2002378488,0,2414519478,391,1910,1909,0,2302
5,city-num-interaction,PairwiseContinuous,2,4,50,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,2119,9,40656,12533,55329,1704984576,969771736,735212840,44654238103,42139251418,2514986685,2514129336,0,3250206925,701,2398,2397,0,3099
5,city-num-interaction,PairwiseContinuous,2,4,10,interaction,sf1,4,SparkQueryExecutor,RandomVertexCut$,6646,10,25534,6088,38289,1706557440,989662464,716894976,71010405577,69438714347,1571691230,1569659936,0,2288593422,683,1498,1496,0,2182
