creationDate|deletionDate|explicitlyDeleted|id|locationIP|browserUsed|content|length|CreatorPersonId|LocationCountryId|ParentPostId|ParentCommentId
2012-07-08T16:48:41.630+00:00|2013-01-01T00:00:00.000+00:00|false|962072674305|91.191.192.127|Firefox|yes|3|24189255811081|4|618475290624|
2012-07-08T13:32:03.239+00:00|2013-01-01T00:00:00.000+00:00|false|962072674306|91.191.192.127|Firefox|thanks|6|24189255811081|4|618475290624|
2011-11-08T02:59:07.529+00:00|2013-01-01T00:00:00.000+00:00|false|755914244468|196.29.42.107|Firefox|LOL|3|2199023255594|60|371|
2011-11-08T05:13:58.584+00:00|2013-01-01T00:00:00.000+00:00|false|755914244469|196.29.42.107|Firefox|I see|5|2199023255594|60|371|
2011-11-07T22:05:54.413+00:00|2013-01-01T00:00:00.000+00:00|false|755914244470|196.29.42.107|Firefox|fine|4|2199023255594|60|371|
2012-09-23T03:27:43.344+00:00|2013-01-01T00:00:00.000+00:00|false|1099511628151|31.170.121.115|Internet Explorer|right|5|28587302322180|48|371|
2012-06-29T23:37:12.826+00:00|2013-01-01T00:00:00.000+00:00|false|962072674680|31.209.179.5|Firefox|About Erwin Rommel,  one of the mAbout Prince Philip, Duke of Edinburgh, marr|77|28587302322204|101|371|
2012-09-22T22:17:44.588+00:00|2013-01-01T00:00:00.000+00:00|false|1099511628153|31.170.121.115|Internet Explorer|good|4|28587302322180|48|371|
2012-06-30T01:03:41.258+00:00|2013-01-01T00:00:00.000+00:00|false|962072674682|31.24.100.159|Firefox|no|2|26388279066655|50||962072674680
2012-09-22T18:57:33.137+00:00|2013-01-01T00:00:00.000+00:00|false|1099511628156|31.170.121.115|Internet Explorer|About Richard Strauss, s of orchestratioAbout Isabella I of Castile,  her husband,|82|28587302322180|48|343597384059|
2012-06-14T06:55:52.471+00:00|2013-01-01T00:00:00.000+00:00|false|962072674685|62.205.208.127|Firefox|cool|4|26388279066655|20|343597384059|
2012-09-22T23:57:40.018+00:00|2013-01-01T00:00:00.000+00:00|false|1099511628158|31.24.100.159|Firefox|About Isabella I of Castile, I of Aragon, bAbout Frank Lloyd Wright, , which has|80|26388279066655|50||1099511628156
2012-09-23T00:02:07.687+00:00|2013-01-01T00:00:00.000+00:00|false|1099511628159|31.209.179.5|Firefox|good|4|28587302322204|101||1099511628158
2012-09-22T21:48:09.296+00:00|2013-01-01T00:00:00.000+00:00|false|1099511628160|31.170.121.115|Internet Explorer|thx|3|28587302322180|48|343597384059|
2012-09-23T01:54:27.892+00:00|2013-01-01T00:00:00.000+00:00|false|1099511628161|31.209.179.5|Firefox|About Franz Liszt, s considered byAbout Richard Strauss, ongs; and his tAbout Indira Ga|87|28587302322204|101||1099511628156
2011-11-08T16:05:23.917+00:00|2013-01-01T00:00:00.000+00:00|false|755914244482|196.29.42.107|Firefox|good|4|2199023255594|60|343597384059|
2012-12-11T17:13:18.140+00:00|2013-01-01T00:00:00.000+00:00|false|1168231104900|41.203.147.168|Internet Explorer|duh|3|17592186044461|90|1168231104899|
